Crop_Type,Soil_Type,Field_Size,Sowing_Date,Sowing_Day_of_Year,Sowing_Month,District,Latitude,Longitude,Avg_Temp,Tmax,Tmin,Rainfall,Cumulative_Rainfall,Relative_Humidity,WindSpeed,Solar_Radiation,Growing_Degree_Days,Season,Avg_Yield_Last_3Years,Max_Yield_Last_3Years,Min_Yield_Last_3Years,Season_Length,Irrigation_Frequency,Soil_Organic_Matter,Soil_pH,NDVI,Evapotranspiration_ET0,Actual_Yield,Soil_Sand_Percent,Soil_Clay_Percent,Soil_Silt_Percent,Elevation,Fertilizer_NPK,Crop_Cotton,Crop_Maize,Crop_Rice,Crop_Soybean,Crop_Sugarcane,Crop_Wheat,Soil_Alluvial,Soil_Black,Soil_Laterite,Soil_Loamy,Soil_Red,Soil_Sandy,Season_Kharif,Season_Rabi,District_Andhra Pradesh,District_Bihar,District_Gujarat,District_Haryana,District_Karnataka,District_Madhya Pradesh,District_Maharashtra,District_Punjab,District_Rajasthan,District_Tamil Nadu,District_Uttar Pradesh,District_West Bengal
Maize,Loamy,3.1,2023-07-03,184,7,Bihar,25.0961,85.3131,29.7,37.0,20.9,1199.2,1199.2,72.0,7.1,18.7,1928.2,Kharif,4.06,4.54,3.5,100,10,2.69,7.35,0.874,236.65,3.67,52.8,24.3,22.9,332,Low,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False
Wheat,Black,3.42,2023-10-16,289,10,Punjab,30.7333,76.7794,16.2,21.8,12.7,603.4,603.4,48.6,5.6,23.5,1399.6,Rabi,4.85,6.46,3.25,115,21,3.38,7.63,0.9,135.26,3.67,33.0,48.6,18.4,543,Low,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False
Rice,Loamy,0.64,2023-07-02,183,7,Bihar,25.0961,85.3131,31.4,35.2,27.0,1453.2,1453.2,84.5,6.4,18.0,2491.1,Kharif,4.56,5.56,2.87,117,7,3.38,7.43,0.9,194.51,3.66,43.0,21.2,35.7,332,High,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False
Wheat,Black,1.33,2023-11-11,315,11,Bihar,25.0961,85.3131,19.8,26.7,16.9,540.1,540.1,61.7,9.9,22.8,2503.9,Rabi,4.42,5.73,2.89,163,18,3.08,6.59,0.778,215.9,3.76,29.2,53.4,17.4,332,High,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False
Rice,Black,0.57,2023-06-12,163,6,Bihar,25.0961,85.3131,26.0,28.1,18.1,1880.2,1880.2,73.2,7.8,21.6,2580.1,Kharif,4.22,5.46,3.65,161,7,3.72,7.14,0.9,203.62,6.93,39.9,31.7,28.4,332,High,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False
Wheat,Alluvial,2.12,2023-11-06,310,11,Punjab,30.7333,76.7794,17.8,22.9,12.4,403.0,403.0,49.9,6.7,19.0,2292.2,Rabi,3.91,4.74,2.81,161,13,1.72,7.72,0.81,125.27,3.82,31.7,28.9,39.4,543,Medium,False,False,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False
Cotton,Black,0.58,2023-07-09,190,7,Karnataka,15.3173,75.7139,24.8,29.1,18.2,1423.9,1423.9,78.1,7.3,24.0,1647.8,Kharif,1.47,1.92,1.13,171,5,3.32,8.44,0.9,230.58,2.09,24.8,59.5,15.7,332,High,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False
Rice,Black,1.06,2023-07-24,205,7,Haryana,29.0588,76.0856,32.7,39.2,26.4,1386.3,1386.3,80.7,9.6,17.0,2259.9,Kharif,5.25,6.86,3.92,100,15,2.9,8.0,0.9,198.92,2.35,22.4,34.3,43.3,543,Low,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False
Sugarcane,Black,5.23,2023-07-31,212,7,Uttar Pradesh,26.8467,80.9462,29.9,33.1,26.8,1316.6,1316.6,74.7,4.5,22.0,1642.3,Kharif,89.55,122.24,66.65,135,10,2.76,7.28,0.9,297.05,134.39,22.0,39.1,38.9,332,Medium,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False
Maize,Red,3.35,2023-07-17,198,7,Karnataka,15.3173,75.7139,26.3,36.0,18.4,641.2,641.2,85.2,6.8,24.3,1780.9,Kharif,4.56,6.13,3.37,109,8,2.05,6.63,0.889,278.86,3.53,63.8,15.9,20.2,332,Medium,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False
Maize,Alluvial,2.73,2023-06-07,158,6,Karnataka,15.3173,75.7139,25.8,35.4,22.2,1160.5,1160.5,76.1,10.2,16.3,1919.0,Kharif,5.95,7.57,4.26,115,11,3.0,7.9,0.9,227.81,3.34,45.3,34.9,19.8,332,Medium,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False
Wheat,Sandy,0.89,2023-11-12,316,11,Bihar,25.0961,85.3131,19.8,28.9,15.3,470.2,470.2,59.8,6.9,24.9,2404.9,Rabi,2.3,3.1,1.76,151,10,1.9,7.3,0.806,220.8,2.78,82.2,11.2,6.6,332,Medium,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False
Sugarcane,Black,1.74,2023-07-20,201,7,Maharashtra,19.7515,75.7139,31.8,40.4,28.6,1677.0,1677.0,79.4,4.9,23.1,1769.4,Kharif,112.33,145.31,85.98,130,3,3.5,6.73,0.9,319.67,103.58,32.5,39.2,28.3,332,Low,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False
Maize,Red,0.65,2023-06-11,162,6,Uttar Pradesh,26.8467,80.9462,28.2,37.1,21.5,637.6,637.6,70.7,10.5,15.6,2564.2,Kharif,5.24,7.32,3.27,140,5,2.35,5.61,0.9,208.68,6.79,60.5,21.4,18.1,332,Medium,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False
Soybean,Red,1.98,2023-07-05,186,7,Maharashtra,19.7515,75.7139,27.7,36.4,20.0,1335.7,1335.7,86.6,10.2,15.9,2191.9,Kharif,2.32,2.73,1.72,124,2,1.4,6.05,0.881,154.93,3.2,52.6,28.3,19.1,332,High,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False
Cotton,Red,4.86,2023-06-21,172,6,Andhra Pradesh,15.9129,79.74,28.0,35.7,21.2,808.4,808.4,89.6,3.7,19.3,1954.6,Kharif,1.58,1.9,1.33,148,9,2.4,5.96,0.84,202.83,1.89,59.0,17.9,23.1,332,Medium,True,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False
Cotton,Red,1.98,2023-07-07,188,7,Karnataka,15.3173,75.7139,25.4,33.8,16.7,832.6,832.6,83.2,11.9,24.0,1046.4,Kharif,1.37,1.51,1.17,102,5,2.11,6.23,0.854,289.54,1.27,57.4,21.2,21.4,332,Low,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False
Cotton,Red,0.29,2023-06-29,180,6,Andhra Pradesh,15.9129,79.74,31.6,41.6,25.2,936.3,936.3,80.8,6.9,18.9,2022.0,Kharif,1.82,2.25,1.28,120,10,1.54,5.52,0.824,221.22,1.91,66.6,26.0,7.4,332,Low,True,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False
Rice,Black,1.7,2023-07-04,185,7,Punjab,30.7333,76.7794,21.9,30.1,18.0,1232.6,1232.6,75.1,9.8,19.9,1190.2,Kharif,3.8,4.35,3.3,97,5,2.37,7.21,0.9,215.22,2.39,20.2,53.1,26.7,543,Low,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False
Maize,Red,2.14,2023-06-14,165,6,Karnataka,15.3173,75.7139,32.7,37.9,26.0,803.8,803.8,77.8,5.9,19.0,3625.1,Kharif,4.61,6.21,3.51,157,7,1.92,5.72,0.865,288.02,5.52,58.3,22.2,19.5,332,Low,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False
Rice,Laterite,6.74,2023-06-23,174,6,Uttar Pradesh,26.8467,80.9462,26.5,31.1,21.3,2026.4,2026.4,83.1,7.3,18.9,1614.5,Kharif,2.57,2.93,2.12,97,8,0.7,5.83,0.9,232.27,1.64,40.4,25.2,34.4,332,Medium,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False
Maize,Red,3.03,2023-06-06,157,6,Bihar,25.0961,85.3131,27.3,33.9,19.7,846.2,846.2,74.5,5.1,17.6,2782.9,Kharif,6.45,7.49,5.21,159,6,1.21,6.53,0.795,175.98,5.62,65.2,17.1,17.7,332,Medium,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False
Soybean,Black,0.72,2023-07-21,202,7,Madhya Pradesh,22.9734,78.6569,30.6,38.2,28.3,806.6,806.6,81.7,7.6,24.8,1845.1,Kharif,2.2,2.43,1.65,91,7,3.89,8.32,0.9,321.24,1.91,24.3,46.1,29.6,332,Medium,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False
Cotton,Sandy,0.31,2023-06-25,176,6,Maharashtra,19.7515,75.7139,27.2,33.9,21.5,971.5,971.5,86.4,3.3,22.6,1629.6,Kharif,1.42,1.87,0.97,132,6,1.74,6.88,0.832,237.16,0.58,70.2,7.4,22.4,332,Medium,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False
Rice,Black,1.18,2023-06-28,179,6,Uttar Pradesh,26.8467,80.9462,27.9,35.0,22.9,2090.0,2090.0,76.6,6.6,16.7,2600.2,Kharif,3.91,4.81,2.4,149,4,3.81,7.33,0.9,195.13,4.3,36.0,59.3,4.7,332,High,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False
Rice,Alluvial,5.7,2023-07-11,192,7,Haryana,29.0588,76.0856,31.3,38.9,22.6,1138.2,1138.2,83.0,11.0,15.2,3624.1,Kharif,5.21,7.29,4.49,174,22,1.95,6.03,0.9,204.09,3.48,58.8,24.8,16.5,543,Low,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False
Maize,Red,2.94,2023-06-10,161,6,Karnataka,15.3173,75.7139,27.9,33.8,19.9,1145.7,1145.7,77.0,7.9,19.5,1926.4,Kharif,6.73,8.58,5.3,109,3,2.31,6.53,0.9,254.5,4.6,52.2,23.2,24.6,332,Medium,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False
Sugarcane,Loamy,1.45,2023-06-26,177,6,Maharashtra,19.7515,75.7139,28.8,30.8,24.7,1222.9,1222.9,87.2,8.2,23.7,1283.0,Kharif,89.64,117.29,69.68,115,8,3.04,6.98,0.9,266.73,86.51,49.1,36.9,14.0,332,High,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False
Soybean,Red,1.82,2023-07-21,202,7,Rajasthan,27.0238,74.2179,31.0,38.5,25.9,815.4,815.4,73.4,2.4,16.3,2683.1,Kharif,2.38,3.2,1.71,127,19,2.26,5.97,0.877,222.91,1.57,52.0,22.3,25.7,332,Low,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False
Wheat,Alluvial,3.54,2023-11-17,321,11,Uttar Pradesh,26.8467,80.9462,22.9,30.7,15.2,291.0,291.0,63.0,10.7,24.5,2526.1,Rabi,4.53,5.39,2.94,132,11,3.1,7.61,0.9,228.51,2.56,34.5,21.5,44.0,332,Low,False,False,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False
Cotton,Black,3.89,2023-06-28,179,6,Andhra Pradesh,15.9129,79.74,24.6,31.5,20.4,1232.4,1232.4,81.9,3.1,20.4,958.7,Kharif,1.35,1.64,1.0,98,10,3.1,8.45,0.9,196.05,2.21,29.5,52.1,18.4,332,High,True,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False
Wheat,Black,1.05,2023-11-01,305,11,Haryana,29.0588,76.0856,17.2,23.6,9.0,607.1,607.1,57.2,3.0,24.9,2014.0,Rabi,4.77,6.06,3.44,152,24,2.59,8.02,0.767,179.42,3.78,27.9,41.3,30.8,543,Medium,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False
Soybean,Red,0.27,2023-07-20,201,7,Madhya Pradesh,22.9734,78.6569,22.4,28.3,18.6,1303.8,1303.8,71.1,6.2,16.2,2256.5,Kharif,1.72,2.11,1.28,179,11,1.24,6.21,0.9,185.51,2.15,59.2,26.8,14.0,332,Medium,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False
Sugarcane,Alluvial,1.01,2023-06-28,179,6,Uttar Pradesh,26.8467,80.9462,25.3,33.3,23.3,1566.2,1566.2,72.1,11.4,24.1,769.6,Kharif,94.24,117.22,77.62,105,9,2.6,6.33,0.9,273.73,70.32,56.8,34.1,9.1,332,Low,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False
Wheat,Black,1.93,2023-10-02,275,10,Uttar Pradesh,26.8467,80.9462,16.3,20.6,11.7,389.5,389.5,55.5,9.0,17.0,2097.8,Rabi,5.57,6.52,4.96,177,24,2.86,7.15,0.831,126.11,4.59,26.3,53.6,20.1,332,Medium,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False
Wheat,Black,1.33,2023-10-29,302,10,Uttar Pradesh,26.8467,80.9462,13.2,19.7,8.5,526.9,526.9,57.2,8.2,17.1,1398.2,Rabi,4.93,6.61,3.56,150,19,3.75,8.16,0.867,112.15,2.97,28.8,50.6,20.6,332,Medium,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False
Wheat,Loamy,3.66,2023-11-24,328,11,Haryana,29.0588,76.0856,14.5,20.4,8.5,422.4,422.4,56.0,10.6,15.8,1088.8,Rabi,3.82,4.9,2.8,100,20,2.19,6.51,0.832,103.73,2.08,45.1,36.8,18.1,543,Low,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False
Sugarcane,Alluvial,1.08,2023-07-30,211,7,Uttar Pradesh,26.8467,80.9462,23.8,31.1,18.9,1465.5,1465.5,74.8,2.4,21.0,813.9,Kharif,82.96,113.35,53.64,145,8,1.92,7.25,0.9,240.07,62.85,31.2,33.0,35.8,332,Medium,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False
Maize,Red,5.65,2023-06-08,159,6,Karnataka,15.3173,75.7139,30.8,37.8,24.9,703.3,703.3,75.0,10.6,16.1,2843.8,Kharif,4.72,6.14,3.37,137,2,1.07,5.8,0.732,177.65,3.58,59.2,24.6,16.2,332,Low,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False
Cotton,Sandy,4.85,2023-06-14,165,6,Maharashtra,19.7515,75.7139,31.7,40.4,29.7,967.2,967.2,74.1,10.4,18.6,2329.3,Kharif,1.4,1.93,0.9,136,9,1.5,7.24,0.858,250.56,0.55,79.9,14.0,6.2,332,Medium,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False
Soybean,Red,2.48,2023-06-10,161,6,Maharashtra,19.7515,75.7139,27.2,35.1,21.8,1224.9,1224.9,75.3,10.4,18.6,1740.2,Kharif,2.19,2.83,1.47,99,10,1.05,6.24,0.798,188.96,2.24,62.7,24.2,13.1,332,Low,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False
Sugarcane,Black,0.61,2023-07-13,194,7,Uttar Pradesh,26.8467,80.9462,24.7,35.1,21.3,1908.0,1908.0,87.5,2.3,22.6,952.5,Kharif,106.84,143.07,86.72,140,7,3.62,7.34,0.9,238.36,88.42,30.4,32.0,37.6,332,Low,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False
Maize,Loamy,0.56,2023-07-10,191,7,Andhra Pradesh,15.9129,79.74,29.7,36.4,21.0,986.9,986.9,78.8,8.9,20.4,3017.3,Kharif,6.05,8.3,4.12,152,9,2.97,6.9,0.9,265.7,4.54,43.0,34.7,22.2,332,Low,False,True,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False
Cotton,Black,1.26,2023-06-18,169,6,Maharashtra,19.7515,75.7139,27.4,38.2,22.7,1484.3,1484.3,89.4,8.9,24.9,1501.7,Kharif,1.56,1.81,1.0,119,7,2.93,7.76,0.9,317.74,1.94,33.6,45.4,21.0,332,Low,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False
Sugarcane,Loamy,0.43,2023-06-25,176,6,Karnataka,15.3173,75.7139,26.6,33.2,20.9,1459.7,1459.7,84.9,9.7,20.2,967.1,Kharif,71.03,79.76,43.05,115,10,2.81,6.32,0.9,238.8,52.96,40.8,21.7,37.5,332,High,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False
Cotton,Red,1.5,2023-07-09,190,7,Maharashtra,19.7515,75.7139,19.5,28.1,8.3,1282.1,1282.1,84.4,10.8,18.6,850.2,Kharif,1.71,2.34,1.22,175,2,1.96,6.68,0.9,152.79,1.22,64.3,16.1,19.6,332,Low,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False
Wheat,Black,0.88,2023-11-15,319,11,Haryana,29.0588,76.0856,22.6,30.6,16.5,447.8,447.8,46.3,3.5,17.3,3183.5,Rabi,5.1,7.1,4.47,170,22,3.09,8.3,0.844,178.78,2.59,20.2,32.1,47.6,543,Medium,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False
Wheat,Black,2.89,2023-10-26,299,10,Bihar,25.0961,85.3131,21.6,30.7,15.5,628.9,628.9,59.4,4.7,19.3,1826.6,Rabi,5.09,6.02,4.1,105,8,3.72,7.03,0.9,214.88,6.17,34.8,58.7,6.6,332,Low,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False
Rice,Black,5.76,2023-06-20,171,6,Uttar Pradesh,26.8467,80.9462,31.0,39.4,23.1,1785.9,1785.9,81.8,6.8,18.8,2461.4,Kharif,4.9,5.8,3.55,117,11,2.65,8.27,0.9,206.98,3.2,25.9,40.6,33.5,332,Medium,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False
Soybean,Black,1.83,2023-07-27,208,7,Maharashtra,19.7515,75.7139,26.2,29.9,21.4,814.1,814.1,85.1,11.7,16.6,2158.8,Kharif,2.14,2.44,1.44,133,5,3.79,7.68,0.9,165.03,1.65,35.5,40.5,24.0,332,High,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False
Rice,Red,1.87,2023-07-28,209,7,Bihar,25.0961,85.3131,29.4,36.2,22.8,2430.6,2430.6,79.8,4.1,18.0,2023.3,Kharif,3.41,4.08,2.69,104,9,1.91,6.96,0.9,213.29,3.92,63.2,17.8,19.0,332,Low,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False
Wheat,Black,4.69,2023-11-13,317,11,Punjab,30.7333,76.7794,14.3,23.0,6.4,509.1,509.1,55.3,10.0,16.9,1558.4,Rabi,3.86,5.31,3.32,153,19,2.71,7.79,0.749,101.73,3.72,22.0,35.2,42.8,543,High,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False
Sugarcane,Black,1.42,2023-06-28,179,6,Maharashtra,19.7515,75.7139,27.4,35.5,19.3,1413.0,1413.0,70.7,11.4,22.7,1216.6,Kharif,85.45,118.01,57.25,130,5,2.76,6.78,0.9,227.72,113.31,35.3,49.8,14.9,332,Low,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False
Soybean,Red,1.79,2023-06-14,165,6,Maharashtra,19.7515,75.7139,30.1,38.2,25.0,1313.9,1313.9,72.9,5.6,22.3,2464.5,Kharif,2.42,3.16,1.68,125,7,1.42,6.67,0.878,258.9,2.72,55.3,15.3,29.4,332,High,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False
Soybean,Black,1.74,2023-06-20,171,6,Rajasthan,27.0238,74.2179,38.3,46.4,27.7,1047.7,1047.7,78.0,2.9,19.1,2959.5,Kharif,2.18,2.8,1.69,105,23,2.5,6.53,0.9,272.71,3.38,39.4,32.5,28.2,332,Medium,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False
Soybean,Red,0.61,2023-07-20,201,7,Madhya Pradesh,22.9734,78.6569,19.5,27.2,14.0,842.9,842.9,87.0,5.3,19.4,1513.0,Kharif,2.01,2.68,1.61,158,7,1.39,6.89,0.87,177.99,1.05,55.9,26.5,17.6,332,High,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False
Soybean,Sandy,5.68,2023-07-31,212,7,Madhya Pradesh,22.9734,78.6569,26.1,33.3,17.8,1255.7,1255.7,78.0,11.6,19.7,2054.5,Kharif,1.26,1.63,0.87,130,7,1.8,6.77,0.9,217.08,1.94,79.4,8.8,11.8,332,Medium,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False
Wheat,Alluvial,3.25,2023-11-18,322,11,Uttar Pradesh,26.8467,80.9462,20.4,25.6,15.1,562.0,562.0,48.2,3.0,24.5,2249.2,Rabi,4.47,5.97,3.32,135,12,2.56,6.91,0.873,164.42,4.67,36.2,17.4,46.4,332,Medium,False,False,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False
Cotton,Red,1.58,2023-07-30,211,7,Karnataka,15.3173,75.7139,23.7,29.4,17.5,802.1,802.1,77.3,8.2,16.0,1129.8,Kharif,1.15,1.47,0.78,127,4,1.8,6.48,0.9,181.74,1.42,62.3,26.6,11.1,332,Low,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False
Sugarcane,Alluvial,0.53,2023-06-07,158,6,Karnataka,15.3173,75.7139,32.2,38.8,23.4,1758.1,1758.1,87.0,6.4,19.7,1531.3,Kharif,79.67,96.15,66.57,107,3,2.04,7.95,0.9,297.18,47.52,49.3,25.6,25.1,332,Low,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False
Rice,Black,7.6,2023-07-10,191,7,Bihar,25.0961,85.3131,24.1,31.3,20.4,1934.9,1934.9,73.0,4.9,19.5,2364.4,Kharif,5.97,7.53,4.5,166,8,3.19,8.04,0.9,193.85,2.99,39.4,31.3,29.4,332,High,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False
Wheat,Alluvial,3.66,2023-11-14,318,11,Haryana,29.0588,76.0856,18.2,29.7,10.0,465.0,465.0,66.1,8.4,20.7,1874.8,Rabi,4.32,5.66,3.21,135,17,3.28,6.39,0.829,172.16,4.86,54.0,20.9,25.2,543,Medium,False,False,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False
Wheat,Black,2.28,2023-10-24,297,10,Bihar,25.0961,85.3131,19.4,28.4,10.0,529.1,529.1,67.1,2.7,15.6,1603.6,Rabi,4.87,5.84,3.34,103,17,3.19,8.26,0.9,108.26,3.38,32.0,59.4,8.6,332,Medium,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False
Cotton,Black,7.2,2023-06-15,166,6,Karnataka,15.3173,75.7139,26.3,35.0,19.5,1201.0,1201.0,85.4,5.4,15.7,1117.6,Kharif,1.74,2.03,1.47,102,6,3.49,6.54,0.9,157.21,0.58,35.0,47.5,17.6,332,High,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False
Rice,Loamy,2.02,2023-06-13,164,6,Uttar Pradesh,26.8467,80.9462,25.9,31.3,19.7,2113.9,2113.9,81.2,10.9,24.9,2267.6,Kharif,4.61,5.64,3.68,140,2,2.79,6.62,0.9,265.16,5.42,56.2,33.1,10.6,332,Medium,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False
Rice,Black,7.51,2023-07-02,183,7,Haryana,29.0588,76.0856,34.5,45.8,26.0,2028.8,2028.8,86.2,7.1,19.5,2159.3,Kharif,5.48,6.68,4.18,90,20,3.21,6.75,0.9,228.66,5.97,26.8,33.8,39.4,543,High,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False
Cotton,Red,0.35,2023-06-03,154,6,Gujarat,22.2587,71.1924,32.1,44.4,23.7,1406.4,1406.4,83.5,2.3,24.3,2121.8,Kharif,1.64,2.19,1.28,123,23,2.28,5.93,0.9,328.52,1.73,68.6,18.4,13.1,332,High,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False
Cotton,Red,4.12,2023-07-18,199,7,Andhra Pradesh,15.9129,79.74,25.1,36.9,22.0,1405.3,1405.3,71.1,11.7,24.0,1326.8,Kharif,1.46,1.87,1.02,136,8,2.27,6.88,0.9,290.98,1.43,57.4,21.5,21.1,332,Medium,True,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False
Soybean,Black,1.9,2023-06-29,180,6,Rajasthan,27.0238,74.2179,26.0,38.1,17.9,1314.5,1314.5,77.2,3.0,15.4,1956.8,Kharif,1.96,2.31,1.63,124,24,2.25,7.48,0.889,197.94,2.22,32.3,43.2,24.6,332,High,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False
Rice,Black,5.17,2023-06-03,154,6,Haryana,29.0588,76.0856,35.5,52.5,28.0,2338.5,2338.5,89.3,7.5,18.0,3605.8,Kharif,5.5,6.81,4.46,142,14,3.02,7.05,0.9,250.85,4.08,24.8,58.3,16.9,543,Low,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False
Soybean,Laterite,1.15,2023-06-26,177,6,Rajasthan,27.0238,74.2179,33.5,46.3,25.7,1083.7,1083.7,73.9,6.3,23.5,2528.7,Kharif,1.57,1.85,1.23,107,12,0.86,5.62,0.9,348.53,1.64,42.4,23.9,33.6,332,Low,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False
